business,industry,order,stage,capital,revenue,inputs,maintenance,profit_after_tax,payback_hours,npc_profit,utility_stress_profit,upgrade_payback_hours,input_output_scale_ratio
coal_open_pit,miner,1,1,12000.0,3624.375,1060.7333,8.4,2223.0602,5.398,1300.0,2048.575,,1.0
coal_open_pit,miner,1,2,12600.0,3986.8125,1092.5553,8.4,2510.6957,5.0185,1542.217,2363.9905,2.086,0.936364
coal_open_pit,miner,1,3,13272.0,4385.4937,1125.332,8.4,2829.0327,4.6914,1811.997,2714.2391,2.111,0.876777
coal_open_pit,miner,1,4,14024.64,4824.0431,1159.092,8.4,3181.1995,4.4086,2112.1966,3102.9028,2.1372,0.820982
coal_open_pit,miner,1,5,14867.6,5306.4474,1193.8649,8.4,3570.6388,4.1638,2445.9606,3533.9246,2.1645,0.768738
coal_open_pit,miner,1,6,15811.71,5837.0922,1229.6806,8.4,4001.1401,3.9518,2816.7529,4011.6461,2.193,0.719818
coal_open_pit,miner,1,7,16869.12,6420.8014,1266.5708,8.4,4476.8727,3.7681,3228.385,4540.8443,2.2227,0.674011
coal_open_pit,miner,1,8,18053.41,7062.8812,1304.5683,8.4,5002.4242,3.6089,3685.0524,5126.7767,2.2534,0.63112
coal_open_pit,miner,1,9,19379.82,7769.1704,1343.7052,8.4,5582.8467,3.4713,4191.3786,5775.2351,2.2852,0.590958
coal_open_pit,miner,1,10,22373.38,9657.0783,1370.1758,8.4,7202.2972,3.1064,5661.999,7624.0286,1.8485,0.484794
coal_open_pit,miner,1,11,24037.23,10622.7858,1411.2813,8.4,8006.7009,3.0021,6372.9067,8528.9961,2.0684,0.453944
coal_open_pit,miner,1,12,25900.74,11685.0647,1453.6205,8.4,8894.0485,2.9121,7159.2211,9528.7123,2.1001,0.425057
coal_open_pit,miner,1,13,27987.87,12853.5705,1497.2283,8.4,9872.7097,2.8349,8028.614,10632.7807,2.1326,0.398007
coal_open_pit,miner,1,14,30325.46,14138.9261,1542.145,8.4,10951.8915,2.769,8989.5233,11851.7647,2.1661,0.37268
coal_open_pit,miner,1,15,32943.56,15552.8201,1588.41,8.4,12141.7288,2.7133,10051.2411,13197.2951,2.2004,0.348964
coal_open_pit,miner,1,16,35875.83,17108.1011,1636.0624,8.4,13453.3657,2.6667,11223.9873,14682.1621,2.2356,0.326757
coal_open_pit,miner,1,17,39159.97,18818.9112,1685.1436,8.4,14899.0698,2.6283,12519.0136,16320.4471,2.2717,0.305963
coal_open_pit,miner,1,18,42838.21,20700.8027,1735.6981,8.4,16492.333,2.5975,13948.695,18127.6363,2.3086,0.286493
coal_open_pit,miner,1,19,46957.83,22770.8862,1787.7695,8.4,18248.0035,2.5733,15526.6547,20120.7761,2.3465,0.268262
coal_open_pit,miner,1,20,59459.8,29932.3286,1800.8918,8.4,24467.042,2.4302,21236.1251,27262.8282,2.0103,0.205577
coal_open_pit,miner,1,21,64627.46,32925.5622,1854.9182,8.4,27024.1523,2.3915,23549.6725,30176.2294,2.0209,0.192495
coal_open_pit,miner,1,22,70415.24,36218.1184,1910.5653,8.4,29840.2632,2.3597,26100.2468,33386.5583,2.0552,0.180245
coal_open_pit,miner,1,23,76897.55,39839.9274,1967.8831,8.4,32941.3705,2.3344,28911.7173,36923.6712,2.0903,0.168775
coal_open_pit,miner,1,24,84157.74,43823.9201,2026.9193,8.4,36356.0827,2.3148,32010.3572,40820.4287,2.1261,0.158035
coal_open_pit,miner,1,25,92289.15,48206.315,2087.7269,8.4,40115.8637,2.3006,35425.0617,45112.9709,2.1627,0.147978
coal_open_pit,miner,1,26,101396.33,53026.944,2150.3589,8.4,44255.321,2.2912,39187.6168,49841.0511,2.2001,0.138561
coal_open_pit,miner,1,27,111596.37,58329.6402,2214.8695,8.4,48812.5425,2.2862,43333.0078,55048.4228,2.2382,0.129744
coal_open_pit,miner,1,28,123020.41,64162.6042,2281.3149,8.4,53829.4137,2.2854,47899.711,60783.2033,2.2771,0.121487
coal_open_pit,miner,1,29,135815.34,70578.8643,2349.7545,8.4,59352.0175,2.2883,52930.0596,67098.3331,2.3168,0.113756
coal_open_pit,miner,1,30,182523.37,97822.3053,2335.5386,8.4,83066.1791,2.1973,74746.1364,94362.7805,1.9696,0.081579
coal_open_pit,miner,1,31,198573.33,107604.5333,2405.6053,8.4,91515.7594,2.1698,82466.8187,104041.4739,1.8995,0.076387
coal_open_pit,miner,1,32,216549.28,118364.9873,2477.7734,8.4,100814.5682,2.148,90966.9298,114695.2883,1.9331,0.071526
coal_open_pit,miner,1,33,236682.35,130201.4857,2552.1064,8.4,111047.652,2.1314,100324.629,126421.948,1.9674,0.066975
coal_open_pit,miner,1,34,259231.39,143221.6361,2628.669,8.4,122308.5733,2.1195,110625.9053,139328.965,2.0024,0.062713
coal_open_pit,miner,1,35,284486.31,157543.7997,2707.5293,8.4,134700.2473,2.112,121965.3459,153534.6002,2.0381,0.058722
coal_open_pit,miner,1,36,312771.82,173298.1786,2788.756,8.4,148335.8897,2.1085,134447.0089,169168.9539,2.0744,0.054985
coal_open_pit,miner,1,37,344451.59,190627.9972,2872.4181,8.4,163340.0458,2.1088,148185.3705,186375.1485,2.1114,0.051486
coal_open_pit,miner,1,38,379932.93,209690.7962,2958.591,8.4,179849.7105,2.1125,163306.3504,205310.6135,2.1491,0.048209
coal_open_pit,miner,1,39,419672.04,230659.8787,3047.349,8.4,198015.5929,2.1194,179948.4795,226148.5423,2.1876,0.045142
coal_open_pit,miner,1,40,540259.93,336186.7716,2991.2468,8.4,289872.7986,1.8638,264454.1471,331758.335,1.3128,0.030402
coal_open_pit,miner,1,41,590108.66,369805.4484,3080.9838,8.4,319042.9763,1.8496,291214.4831,365244.4113,1.7089,0.028467
coal_open_pit,miner,1,42,645939.24,406785.994,3173.4139,8.4,351135.6367,1.8396,320660.2743,402088.3768,1.7397,0.026656
coal_open_pit,miner,1,43,708469.49,447464.5909,3268.6158,8.4,386443.1903,1.8333,353060.349,442626.2979,1.771,0.024959
coal_open_pit,miner,1,44,778503.37,492211.0521,3366.6743,8.4,425287.3008,1.8305,388710.4303,487227.8625,1.8029,0.023371
coal_open_pit,miner,1,45,856941.32,541432.1559,3467.6752,8.4,468021.7902,1.831,427935.812,536299.7215,1.8355,0.021884
coal_open_pit,miner,1,46,944791.82,595575.3711,3571.7055,8.4,515035.8811,1.8344,471094.3386,590289.2156,1.8686,0.020491
coal_open_pit,miner,1,47,1043184.38,655132.9097,3678.8566,8.4,566757.7182,1.8406,518579.6429,649688.4217,1.9023,0.019187
coal_open_pit,miner,1,48,1153384.05,720646.1989,3789.2216,8.4,623658.2622,1.8494,570824.7267,715038.6291,1.9367,0.017966
coal_open_pit,miner,1,49,1276807.68,792710.8213,3902.8983,8.4,686255.585,1.8605,628305.9096,786935.2764,1.9717,0.016823
coal_open_pit,miner,1,50,1699109.11,1212054.8434,3778.7861,8.4,1051192.8618,1.6164,963967.2955,1206462.6937,1.1572,0.010653
iron_quarry,miner,2,1,29493.55,5870.0285,1577.6,19.6,3717.3608,7.934,2310.0228,3512.8285,,1.0
iron_quarry,miner,2,2,30893.55,6457.0314,1624.928,19.6,4186.8779,7.3787,2708.6331,4029.7033,2.9818,0.936364
iron_quarry,miner,2,3,32461.55,7102.7345,1673.6758,19.6,4706.229,6.8976,3152.0738,4603.1746,3.0192,0.876777
iron_quarry,miner,2,4,34217.71,7813.0079,1723.8861,19.6,5280.484,6.48,3644.9772,5239.0493,3.0582,0.820982
iron_quarry,miner,2,5,36184.61,8594.3087,1775.603,19.6,5915.222,6.1172,4192.4425,5943.7189,3.0988,0.768738
iron_quarry,miner,2,6,38387.54,9453.7396,1828.8707,19.6,6616.584,5.8017,4800.0857,6724.2207,3.1409,0.719818
iron_quarry,miner,2,7,40854.82,10399.1136,1883.7364,19.6,7391.3261,5.5274,5474.0862,7588.2976,3.1846,0.674011
iron_quarry,miner,2,8,43618.17,11439.0243,1940.2492,19.6,8246.8823,5.289,6221.2456,8544.4709,3.2299,0.63112
iron_quarry,miner,2,9,46713.12,12582.9285,1998.4564,19.6,9191.4388,5.0822,7049.0583,9602.127,3.2766,0.590958
iron_quarry,miner,2,10,53394.76,15640.5794,2037.8254,19.6,11817.344,4.5183,9436.1255,12601.443,2.5445,0.484794
iron_quarry,miner,2,11,57277.07,17204.6368,2098.9605,19.6,13124.8863,4.364,10595.6686,14074.9137,2.9692,0.453944
iron_quarry,miner,2,12,61625.26,18925.101,2161.9304,19.6,14566.9064,4.2305,11877.5852,15702.0727,3.0153,0.425057
iron_quarry,miner,2,13,66495.23,20817.61,2226.7871,19.6,16156.9639,4.1156,13294.3073,17498.4805,3.0628,0.398007
iron_quarry,miner,2,14,71949.6,22899.3686,2293.5906,19.6,17909.9749,4.0173,14859.509,19481.2535,3.1114,0.37268
iron_quarry,miner,2,15,78058.49,25189.3078,2362.3992,19.6,19842.3585,3.9339,16588.2474,21669.236,3.1613,0.348964
iron_quarry,miner,2,16,84900.45,27708.2368,2433.2713,19.6,21972.168,3.864,18497.0825,24083.1506,3.2125,0.326757
iron_quarry,miner,2,17,92563.44,30479.0605,2506.2684,19.6,24319.2771,3.8062,20604.2458,26745.8112,3.2649,0.305963
iron_quarry,miner,2,18,101145.99,33526.9671,2581.4569,19.6,26905.542,3.7593,22929.7884,29682.3079,3.3185,0.286493
iron_quarry,miner,2,19,110758.45,36879.6691,2658.9012,19.6,29755.0161,3.7223,25495.7835,32920.2571,3.3734,0.268262
iron_quarry,miner,2,20,131136.11,48478.323,2678.4177,19.6,39828.8656,3.2925,34745.4318,44489.9925,2.0228,0.205577
iron_quarry,miner,2,21,143193.98,53326.1565,2758.7696,19.6,43976.5746,3.2561,38503.1708,49218.765,2.9071,0.192495
