business,industry,order,stage,capital,revenue,inputs,maintenance,profit_after_tax,payback_hours,npc_profit,utility_stress_profit,upgrade_payback_hours,input_output_scale_ratio
coal_open_pit,miner,1,1,12000.0,2448.4437,1060.7333,8.4,1200.0,10.0,359.2549,872.6437,,1.0
coal_open_pit,miner,1,2,12600.0,2560.7734,1103.7376,8.6698,1260.0784,9.9994,384.3426,921.1581,9.9869,0.994898
coal_open_pit,miner,1,3,13272.0,2687.1327,1152.2608,8.9732,1327.5318,9.9975,412.3417,975.5132,9.9624,0.989796
coal_open_pit,miner,1,4,14024.64,2829.1571,1206.9088,9.3143,1403.2526,9.9944,443.6482,1036.4457,9.9397,0.984694
coal_open_pit,miner,1,5,14867.6,2988.683,1268.356,9.6974,1488.2478,9.99,478.715,1104.7905,9.9177,0.979592
coal_open_pit,miner,1,6,15811.71,3167.7597,1337.3524,10.1275,1583.6434,9.9844,518.0517,1181.4841,9.8968,0.97449
coal_open_pit,miner,1,7,16869.12,3368.6961,1414.7361,10.61,1690.7145,9.9775,562.2427,1267.5914,9.8758,0.969388
coal_open_pit,miner,1,8,18053.41,3594.068,1501.4405,11.1512,1810.8844,9.9694,611.9425,1364.3028,9.8551,0.964286
coal_open_pit,miner,1,9,19379.82,3846.7719,1598.506,11.7581,1945.7617,9.96,667.9003,1472.9702,9.8342,0.959184
coal_open_pit,miner,1,10,22373.38,4428.2259,1830.3378,13.1545,2248.7182,9.9494,783.9195,1710.46,9.8812,0.954081
coal_open_pit,miner,1,11,24037.23,4744.9467,1950.7618,13.9151,2418.8348,9.9375,855.8996,1848.4749,9.7806,0.948979
coal_open_pit,miner,1,12,25900.74,5100.0029,2085.4611,14.7678,2609.8034,9.9244,937.0428,2003.6389,9.7582,0.943877
coal_open_pit,miner,1,13,27987.87,5497.9656,2236.0418,15.7235,2824.1943,9.91,1028.5863,2178.1394,9.7352,0.938776
coal_open_pit,miner,1,14,30325.46,5943.9692,2404.2942,16.7946,3064.9059,9.8944,1131.9394,2374.4525,9.7112,0.933673
coal_open_pit,miner,1,15,32943.56,6443.77,2592.218,17.9949,3335.1947,9.8776,1248.6941,2595.3661,9.6863,0.928572
